timestamp_ms,ax,ay,az,gx,gy,gz,temp,pitch,roll
256,-0.1182,-0.8291,-0.5115,-4.9160,1.8015,-5.5802,48.20,6.92,-121.67
751,-0.1086,-0.7917,-0.5352,3.6565,0.4275,-2.2443,48.11,6.49,-124.06
1251,-0.1155,-0.8091,-0.5215,-8.7634,-0.1374,-2.3664,48.11,6.84,-122.80
1751,-0.1091,-0.7974,-0.5212,-2.3588,0.4733,-2.3359,48.15,6.54,-123.17
2251,-0.1206,-0.8147,-0.5210,-2.8702,0.7481,-1.2061,48.15,7.11,-122.60
2751,-0.1077,-0.7966,-0.5312,3.2366,2.4046,-0.1298,48.15,6.42,-123.70
3251,-0.1069,-0.8069,-0.5161,1.8168,1.8550,-1.1832,48.15,6.37,-122.60
3751,-0.1599,-0.7800,-0.5488,-3.9008,-6.1069,-1.9008,48.29,9.52,-125.13
256,0.7332,0.3315,-0.5466,-3.0229,3.8626,-0.4885,45.61,-48.91,148.76
751,0.7397,0.3276,-0.5312,-3.9924,-1.8626,-0.0382,45.57,-49.84,148.34
1251,0.7639,0.3479,-0.5430,5.3282,-5.3969,-4.2366,45.71,-49.83,147.35
1751,0.7588,0.2217,-0.4822,-19.5267,4.1298,22.1145,45.61,-55.03,155.31
2251,0.6199,0.5098,-0.5615,-13.4809,-5.5954,-43.9847,45.75,-39.26,137.77
2751,0.4429,0.6045,-0.4031,-7.7710,6.5038,-33.7252,45.61,-31.36,123.70
3251,0.3364,0.7229,-0.5369,20.1679,3.6870,32.0534,46.04,-20.49,126.60
3751,0.2607,0.8057,-0.5850,-47.5420,33.0992,-2.2824,45.75,-14.68,125.98
4251,0.2783,0.9492,-0.4360,10.8779,1.7939,3.0611,45.85,-14.92,114.67
4751,0.3640,0.7710,-0.4070,-17.6947,-0.9237,-13.4351,46.04,-22.66,117.83
5251,0.2422,0.7805,0.0203,-34.2366,25.8473,-12.0992,45.89,-17.23,88.51
5751,0.4387,0.8992,0.0500,-8.5420,4.3817,4.6412,46.08,-25.97,86.81
6251,0.4478,0.8835,0.0083,-0.0305,-2.9313,-1.2137,45.89,-26.87,89.46
6751,0.4116,0.9243,0.0107,1.9160,-3.2672,-4.7023,45.75,-24.00,89.33
7251,0.4058,0.9146,-0.0076,-3.6718,2.4885,-1.4733,46.08,-23.92,90.47
7751,0.4128,0.9094,-0.0020,-2.5954,0.9466,-0.2137,45.89,-24.42,90.12
8251,0.4028,0.9092,-0.0215,-0.5496,-0.7328,-2.0840,45.89,-23.89,91.35
8751,0.4248,0.9158,-0.0635,-0.8321,-0.1603,-1.8626,46.22,-24.83,93.97
9251,0.3916,0.9033,-0.0435,-2.1756,0.9924,-2.0763,45.94,-23.41,92.75
9751,0.3921,0.9099,-0.0435,-1.6718,0.1374,-1.3511,46.04,-23.29,92.73
10251,0.3821,0.9036,-0.0476,-1.8855,0.7939,-0.5802,46.04,-22.89,93.02
10751,0.3962,0.9272,-0.0559,-3.9313,4.7786,0.3359,46.08,-23.10,93.45
11251,0.3936,0.8999,-0.0483,-1.4885,0.1298,0.9237,46.13,-23.59,93.07
11751,0.4395,0.9014,-0.0154,4.9313,-8.6489,-2.8473,46.27,-25.99,90.98
265,-0.7410,-0.6624,-0.1519,-13.6412,2.0840,32.8855,48.72,47.48,-102.91
761,-0.8687,-0.1643,-0.2246,-2.0305,0.2443,-6.4809,48.72,72.24,-143.81
1261,-0.9438,-0.1057,-0.1843,-2.2366,0.7786,-0.4504,48.53,77.31,-150.17
1761,-0.9578,-0.1104,-0.1848,-2.7176,1.0458,-1.8321,48.62,77.33,-149.16
